2012.07.01,00:00,1.26761,1.26794,1.26497,1.26540,2616
2012.07.02,00:00,1.26740,1.26740,1.25680,1.25740,50550
2012.07.03,00:00,1.25740,1.26260,1.25580,1.26060,45609
2012.07.04,00:00,1.26060,1.26070,1.25070,1.25250,39379
2012.07.05,00:00,1.25260,1.25390,1.23640,1.23910,54004
2012.07.06,00:00,1.23910,1.24010,1.22600,1.22860,53191
2012.07.08,00:00,1.22613,1.22805,1.22551,1.22701,3011
2012.07.09,00:00,1.22610,1.23230,1.22550,1.23110,47734
2012.07.10,00:00,1.23120,1.23340,1.22350,1.22490,50009
2012.07.11,00:00,1.22490,1.22960,1.22120,1.22380,49651
2012.07.12,00:00,1.22380,1.22480,1.21660,1.22020,51074
2012.07.13,00:00,1.22020,1.22560,1.21610,1.22480,47709
2012.07.15,00:00,1.22500,1.22594,1.22443,1.22462,1151
2012.07.16,00:00,1.22660,1.22890,1.21750,1.22710,42037
2012.07.17,00:00,1.22710,1.23160,1.21890,1.22940,50795
2012.07.18,00:00,1.22940,1.23060,1.22170,1.22830,51093
2012.07.19,00:00,1.22820,1.23230,1.22280,1.22790,52826
2012.07.20,00:00,1.22790,1.22820,1.21430,1.21550,51104
2012.07.22,00:00,1.21199,1.21309,1.21123,1.21268,3041
2012.07.23,00:00,1.21200,1.21450,1.20670,1.21170,58130
2012.07.24,00:00,1.21160,1.21380,1.20420,1.20600,57615
2012.07.25,00:00,1.20600,1.21700,1.20530,1.21580,58196
2012.07.26,00:00,1.21570,1.23290,1.21170,1.22810,58023
2012.07.27,00:00,1.22810,1.23890,1.22410,1.23210,62716
2012.07.29,00:00,1.22960,1.23099,1.22945,1.23020,1793
2012.07.30,00:00,1.22960,1.23100,1.22240,1.22590,50323
2012.07.31,00:00,1.22600,1.23300,1.22490,1.23030,55583
2012.08.01,00:00,1.23030,1.23360,1.22180,1.22240,51578
2012.08.02,00:00,1.22240,1.24040,1.21330,1.21790,59534
2012.08.03,00:00,1.21790,1.23920,1.21660,1.23850,57684
2012.08.05,00:00,1.23967,1.24426,1.23824,1.24261,3534
2012.08.06,00:00,1.23960,1.24430,1.23420,1.24000,52291
2012.08.07,00:00,1.24000,1.24410,1.23760,1.23980,49993
2012.08.08,00:00,1.23980,1.24020,1.23260,1.23640,50795
2012.08.09,00:00,1.23640,1.23870,1.22670,1.23050,52114
2012.08.10,00:00,1.23050,1.23160,1.22410,1.22900,46539
2012.08.12,00:00,1.22893,1.22907,1.22742,1.22743,1267
2012.08.13,00:00,1.22890,1.23730,1.22600,1.23320,43099
2012.08.14,00:00,1.23320,1.23860,1.23170,1.23210,47123
2012.08.15,00:00,1.23200,1.23430,1.22630,1.22890,41618
2012.08.16,00:00,1.22890,1.23720,1.22550,1.23550,46156
2012.08.17,00:00,1.23550,1.23820,1.22890,1.23360,42361
2012.08.19,00:00,1.23509,1.23510,1.23283,1.23314,1905
2012.08.20,00:00,1.23500,1.23680,1.22940,1.23430,39657
2012.08.21,00:00,1.23440,1.24870,1.23420,1.24720,49056
2012.08.22,00:00,1.24710,1.25370,1.24300,1.25280,50801
2012.08.23,00:00,1.25280,1.25890,1.25230,1.25620,53884
2012.08.24,00:00,1.25620,1.25670,1.24800,1.25110,47886
2012.08.26,00:00,1.25105,1.25236,1.25037,1.25045,1817
2012.08.27,00:00,1.25110,1.25350,1.24890,1.24980,35536
2012.08.28,00:00,1.24980,1.25760,1.24640,1.25640,46992
2012.08.29,00:00,1.25640,1.25730,1.25180,1.25290,43516
2012.08.30,00:00,1.25290,1.25640,1.24870,1.25060,44670
2012.08.31,00:00,1.25060,1.26370,1.24930,1.25730,53905
2012.09.02,00:00,1.25695,1.25842,1.25678,1.25729,1713
2012.09.03,00:00,1.25700,1.26110,1.25600,1.25920,35259
2012.09.04,00:00,1.25920,1.26270,1.25550,1.25650,46452
2012.09.05,00:00,1.25650,1.26240,1.25010,1.26000,53134
2012.09.06,00:00,1.26000,1.26510,1.25610,1.26300,54437
2012.09.07,00:00,1.26300,1.28160,1.26260,1.28160,53804
2012.09.09,00:00,1.28066,1.28097,1.27907,1.27950,1687
2012.09.10,00:00,1.28090,1.28120,1.27560,1.27590,44592
2012.09.11,00:00,1.27580,1.28700,1.27540,1.28540,51994
